"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"265",0,1,297,1,6,2,"1c57828",25,1
"275",0,0,214,4,4,2,"1c57828",26,1
"285",0,0,267,6,6,2,"1c57828",27,1
"295",1,0,211,1,4,2,"1c57828",28,1
"305",1,0,258,1,5,2,"1c57828",29,1
"319",1,0,253,1,6,2,"1c57828",30,1
"325",1,1,323,4,4,2,"1c57828",31,1
"335",1,1,317,1,1,2,"1c57828",32,1
"345",1,0,246,4,1,2,"1c57828",33,1
"355",0,0,232,6,6,2,"1c57828",34,1
"365",1,1,266,5,5,2,"1c57828",35,1
"375",1,1,267,1,1,2,"1c57828",36,1
"385",1,1,209,5,5,2,"1c57828",37,1
"395",1,0,304,1,4,2,"1c57828",38,1
"405",1,1,222,4,4,2,"1c57828",39,1
"419",1,0,248,1,6,2,"1c57828",40,1
"425",1,0,225,1,5,2,"1c57828",41,1
"435",0,0,220,6,6,2,"1c57828",42,1
"445",1,1,220,4,4,2,"1c57828",43,1
"455",1,0,226,1,6,2,"1c57828",44,1
"465",1,1,280,5,5,2,"1c57828",45,1
"475",1,1,433,6,6,2,"1c57828",46,1
"485",1,1,227,1,1,2,"1c57828",47,1
"495",1,0,218,1,4,2,"1c57828",48,1
"505",1,0,294,1,5,2,"1c57828",49,1
"519",1,1,211,6,6,2,"1c57828",50,1
"525",0,1,254,4,1,2,"1c57828",51,1
"535",0,0,235,5,5,2,"1c57828",52,1
"545",0,1,237,5,1,2,"1c57828",53,1
"555",1,1,274,4,4,2,"1c57828",54,1
"565",1,0,293,6,1,2,"1c57828",55,1
"575",1,1,224,1,1,2,"1c57828",56,1
"585",1,1,258,4,4,2,"1c57828",57,1
"595",0,1,223,1,4,2,"1c57828",58,1
"605",1,1,276,5,5,2,"1c57828",59,1
"619",1,0,238,1,5,2,"1c57828",60,1
"625",1,1,260,6,6,2,"1c57828",61,1
"635",1,0,201,6,1,2,"1c57828",62,1
"645",1,1,232,1,1,2,"1c57828",63,1
"655",1,1,389,1,1,2,"1c57828",64,1
"665",1,1,218,5,5,2,"1c57828",65,1
"675",0,0,307,4,4,2,"1c57828",66,1
"685",1,1,453,6,6,2,"1c57828",67,1
"695",1,0,297,4,1,2,"1c57828",68,1
"705",1,0,298,6,1,2,"1c57828",69,1
"715",1,0,228,1,5,2,"1c57828",70,1
"220",1,0,974,5,1,3,"1d349a8",1,1
"320",1,1,592,6,6,3,"1d349a8",2,1
"420",1,0,1572,4,1,3,"1d349a8",3,1
"520",1,0,448,1,6,3,"1d349a8",4,1
"620",1,1,560,1,1,3,"1d349a8",5,1
"77",0,0,472,5,5,3,"1d349a8",6,1
"86",0,0,551,4,4,3,"1d349a8",7,1
"96",1,1,454,4,4,3,"1d349a8",8,1
"106",0,0,518,1,1,3,"1d349a8",9,1
"116",1,1,517,6,6,3,"1d349a8",10,1
"126",1,0,689,4,1,3,"1d349a8",11,1
"136",0,0,584,5,5,3,"1d349a8",12,1
"146",0,1,856,1,6,3,"1d349a8",13,1
"156",1,0,686,1,5,3,"1d349a8",14,1
"166",1,1,694,6,6,3,"1d349a8",15,1
"176",0,1,593,6,1,3,"1d349a8",16,1
"186",0,1,481,5,1,3,"1d349a8",17,1
"196",1,1,543,5,5,3,"1d349a8",18,1
"206",1,1,714,1,1,3,"1d349a8",19,1
"2110",1,1,566,4,4,3,"1d349a8",20,1
"226",0,1,557,1,4,3,"1d349a8",21,1
"236",0,1,991,1,6,3,"1d349a8",22,1
"246",1,1,762,6,6,3,"1d349a8",23,1
"256",0,1,513,4,1,3,"1d349a8",24,1
"266",1,1,522,5,5,3,"1d349a8",25,1
"276",1,1,575,1,1,3,"1d349a8",26,1
"286",1,1,648,4,4,3,"1d349a8",27,1
"296",0,1,571,5,1,3,"1d349a8",28,1
"306",0,1,524,4,1,3,"1d349a8",29,1
"3110",1,1,524,5,5,3,"1d349a8",30,1
"326",0,1,548,1,6,3,"1d349a8",31,1
"336",0,1,1057,5,1,3,"1d349a8",32,1
"346",1,1,439,4,4,3,"1d349a8",33,1
"356",1,1,442,1,1,3,"1d349a8",34,1
"366",1,1,524,6,6,3,"1d349a8",35,1
"376",0,1,529,1,5,3,"1d349a8",36,1
"386",0,1,447,4,1,3,"1d349a8",37,1
"396",1,1,532,5,5,3,"1d349a8",38,1
"406",1,1,504,4,4,3,"1d349a8",39,1
"4110",0,1,356,6,1,3,"1d349a8",40,1
"426",1,1,478,1,1,3,"1d349a8",41,1
"436",1,1,450,6,6,3,"1d349a8",42,1
"446",1,1,471,6,6,3,"1d349a8",43,1
"456",1,1,543,1,1,3,"1d349a8",44,1
"466",0,1,401,5,1,3,"1d349a8",45,1
"476",1,1,512,4,4,3,"1d349a8",46,1
"486",1,1,403,5,5,3,"1d349a8",47,1
"496",0,1,525,1,4,3,"1d349a8",48,1
"506",0,1,575,6,1,3,"1d349a8",49,1
"5110",1,1,488,5,5,3,"1d349a8",50,1
"526",0,1,385,1,4,3,"1d349a8",51,1
"536",1,1,475,4,4,3,"1d349a8",52,1
"546",1,1,485,1,1,3,"1d349a8",53,1
"556",0,1,434,5,1,3,"1d349a8",54,1
"566",1,1,545,6,6,3,"1d349a8",55,1
"576",0,1,387,6,1,3,"1d349a8",56,1
"586",0,1,512,1,5,3,"1d349a8",57,1
"596",0,1,383,1,4,3,"1d349a8",58,1
"606",1,1,522,4,4,3,"1d349a8",59,1
"6110",1,1,1766,1,1,3,"1d349a8",60,1
"626",0,1,384,1,6,3,"1d349a8",61,1
"636",1,1,466,6,6,3,"1d349a8",62,1
"646",1,1,701,5,5,3,"1d349a8",63,1
"656",0,1,515,4,1,3,"1d349a8",64,1
"666",0,1,353,1,5,3,"1d349a8",65,1
"676",1,1,402,5,5,3,"1d349a8",66,1
"686",1,1,486,1,1,3,"1d349a8",67,1
"696",1,1,516,6,6,3,"1d349a8",68,1
"706",0,1,605,1,6,3,"1d349a8",69,1
"716",1,1,467,4,4,3,"1d349a8",70,1
"227",0,1,809,4,1,1,"17e1ad1",1,1
"327",1,1,607,5,5,1,"17e1ad1",2,1
"427",1,1,295,4,4,1,"17e1ad1",3,1
"527",1,1,380,1,1,1,"17e1ad1",4,1
"627",0,1,350,1,6,1,"17e1ad1",5,1
"78",0,1,538,5,1,1,"17e1ad1",6,1
"87",0,0,453,6,6,1,"17e1ad1",7,1
"97",0,1,527,1,5,1,"17e1ad1",8,1
"107",1,1,532,6,6,1,"17e1ad1",9,1
"117",1,1,327,4,4,1,"17e1ad1",10,1
"127",1,1,597,5,5,1,"17e1ad1",11,1
"137",0,1,537,1,6,1,"17e1ad1",12,1
"147",1,1,357,1,1,1,"17e1ad1",13,1
"157",0,1,356,1,4,1,"17e1ad1",14,1
"167",1,1,334,1,1,1,"17e1ad1",15,1
"177",0,1,514,1,6,1,"17e1ad1",16,1
"187",1,1,561,4,4,1,"17e1ad1",17,1
"197",1,1,431,6,6,1,"17e1ad1",18,1
"207",1,1,582,5,5,1,"17e1ad1",19,1
"2111",0,1,274,5,1,1,"17e1ad1",20,1
"228",0,1,343,1,4,1,"17e1ad1",21,1
"237",0,1,503,1,6,1,"17e1ad1",22,1
"247",1,1,521,5,5,1,"17e1ad1",23,1
"257",1,1,562,4,4,1,"17e1ad1",24,1
"267",0,1,375,4,1,1,"17e1ad1",25,1
"277",1,1,415,1,1,1,"17e1ad1",26,1
"287",1,1,302,6,6,1,"17e1ad1",27,1
"297",0,1,385,1,5,1,"17e1ad1",28,1
"307",-1,-1,0,4,4,1,"17e1ad1",29,1
"3111",0,1,261,1,4,1,"17e1ad1",30,1
"328",1,1,316,6,6,1,"17e1ad1",31,1
"337",1,1,92,5,5,1,"17e1ad1",32,1
"347",0,1,114,1,6,1,"17e1ad1",33,1
"357",0,1,577,1,5,1,"17e1ad1",34,1
"367",1,1,492,1,1,1,"17e1ad1",35,1
"377",1,1,476,6,6,1,"17e1ad1",36,1
"387",1,1,60,5,5,1,"17e1ad1",37,1
"397",0,1,330,6,1,1,"17e1ad1",38,1
"407",0,1,348,1,4,1,"17e1ad1",39,1
"4111",1,1,1370,1,1,1,"17e1ad1",40,1
"428",1,1,53,4,4,1,"17e1ad1",41,1
"437",0,1,11,1,5,1,"17e1ad1",42,1
"447",1,0,12,4,1,1,"17e1ad1",43,1
